income,grant,dropout,hsgrade
8775.02146,no,0.428571429,77.7755102
8828.057651,no,0.30952381,80.47619048
8875.808221,no,0.387096774,81.51612903
8922.727271,no,0.42,81.56
8973.576546,yes,0.369565217,80.13043478
9026.410751,yes,0.42,81.96
9073.413429,yes,0.45,79.21666667
9123.660002,yes,0.306451613,78.51612903
9172.428709,no,0.365384615,80.75
9224.094345,no,0.307692308,78.97435897
9273.401062,yes,0.466666667,82.04444444
9326.780902,yes,0.315789474,83.78947368
9379.750862,no,0.431818182,85.27272727
9423.839713,yes,0.372093023,79.02325581
9477.221761,no,0.55,81.85
9524.802659,no,0.446428571,78.73214286
9571.475432,yes,0.438596491,81.1754386
9620.424942,yes,0.333333333,81.86666667
9678.170681,yes,0.424242424,78.18181818
9725.506907,no,0.327586207,80.84482759
9776.767258,no,0.365384615,82.71153846
9824.369877,no,0.352941176,79.23529412
9878.654762,yes,0.441176471,83.73529412
9926.290103,yes,0.402597403,79.14285714
9974.687915,yes,0.426229508,82.50819672
10024.15025,no,0.288461538,79.48076923
10074.21553,yes,0.315789474,78.94736842
10123.31929,yes,0.326086957,85.52173913
10179.81078,no,0.468085106,82.78723404
10224.41388,yes,0.415384615,83
10272.59724,no,0.444444444,85.28888889
10323.13664,no,0.239130435,81.10869565
10380.19699,no,0.357142857,82.66071429
10422.23722,yes,0.361702128,82.14893617
10474.2156,no,0.333333333,79.46666667
10522.3996,yes,0.358490566,83.73584906
10573.53075,no,0.333333333,82.68627451
10625.46109,no,0.377358491,85.09433962
10678.23981,yes,0.388888889,80.40740741
10726.97392,no,0.392156863,81.31372549
10779.03609,no,0.489795918,82.3877551
10825.89089,no,0.341463415,78.41463415
10877.20807,no,0.320754717,81.50943396
10919.27001,no,0.406779661,83.30508475
10974.34831,no,0.4,80.38333333
11025.77234,yes,0.339285714,83.23214286
11071.73373,no,0.4,79.5
11125.49766,no,0.283333333,78.91666667
11177.8779,no,0.454545455,77.81818182
11225.18998,yes,0.379310345,81.48275862
11274.34704,yes,0.471698113,80.22641509
11324.11063,no,0.415384615,81.81538462
11382.30617,no,0.304347826,84.2826087
11425.54437,no,0.272727273,84.36363636
11474.41282,yes,0.462962963,80.7962963
11525.20251,no,0.407407407,79.81481481
11578.66118,no,0.422535211,82.94366197
11627.24377,no,0.333333333,81.04166667
11670.69241,no,0.37037037,78.7962963
11726.52079,no,0.344262295,80.85245902
11773.98166,no,0.327586207,82.01724138
11824.7616,no,0.333333333,80.11111111
11876.09907,no,0.383333333,81.83333333
11925.48702,no,0.444444444,79.37037037
11975.22146,no,0.31372549,82.7254902
12024.43959,yes,0.372881356,82
12071.56298,no,0.456140351,82.35087719
12124.83044,no,0.365384615,78.63461538
12175.86451,no,0.323076923,79.46153846
12228.25282,no,0.383333333,79.98333333
12277.83862,yes,0.4,84.92
12328.67604,yes,0.372881356,84.81355932
12371.86009,yes,0.338983051,80.23728814
12423.43156,no,0.339622642,84.05660377
12477.5353,no,0.314814815,83.22222222
12524.1846,no,0.278688525,80.40983607
12577.10919,no,0.283018868,83.60377358
12624.17059,no,0.285714286,82.71428571
12672.81115,no,0.403846154,80.05769231
12728.60648,no,0.349206349,81.98412698
12771.58539,yes,0.5,83.12
12824.70818,no,0.346938776,80.16326531
12874.73286,no,0.534883721,82.09302326
12924.08916,no,0.277777778,83.22222222
12971.44717,no,0.37254902,80.84313725
13027.25767,no,0.188679245,81.33962264
13072.18179,no,0.384615385,80.94230769
13127.79777,no,0.214285714,78
13176.79985,no,0.274509804,82.74509804
13223.24769,no,0.303571429,84.69642857
13275.69324,no,0.258064516,80.85483871
13326.22225,no,0.309090909,82.6
13375.81534,yes,0.407407407,80.88888889
13422.49277,no,0.321428571,83.05357143
13473.53311,yes,0.416666667,83.53333333
13524.85527,no,0.368421053,82.73684211
13572.82231,no,0.296875,81.140625
13625.19821,no,0.479452055,82.43835616
13676.49957,no,0.383333333,81.66666667
13725.16642,no,0.349206349,80.01587302
13772.38361,no,0.433333333,83.18333333
13824.2962,no,0.305084746,81.59322034
13876.60105,no,0.318181818,85.16666667
13925.40512,no,0.265306122,83.65306122
13975.15633,no,0.406779661,85.62711864
14027.03528,no,0.339285714,83.35714286
14074.07105,no,0.244897959,82.30612245
14124.41562,no,0.4,82.83076923
14171.06657,no,0.365384615,83.63461538
14225.62284,no,0.37704918,82.24590164
14275.1669,no,0.272727273,80.27272727
14327.31542,no,0.320754717,79.47169811
14377.70569,no,0.370967742,83.33870968
14425.28661,no,0.307692308,79.56410256
14477.73323,no,0.338461538,83.38461538
14522.26253,no,0.339622642,85.43396226
14574.53296,no,0.476190476,79.46031746
14627.24808,no,0.37254902,78.7254902
14675.43336,no,0.452830189,78.86792453
14723.21972,no,0.305084746,81.03389831
